File name,Column,Missing Rows
2023-05-31_OV71-JHX.parquet,PowerModuleTemperature,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,MotorTemperature,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DTS6_Kaeltemittel_T,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DTS6_Kaeltemittel_p,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DTS7_Kaeltemittel_T,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DTS7_Kaeltemittel_p,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OVR_EKK_INPUT_CURRENT,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_IStackThdaAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_IPeDcdcHiSideAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_IPeDcdcLoSideAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_IDcCmpr,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_ICooltPmpAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_TankLevel,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PctgCooltFanPwrReq,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PctgCooltHeatrPwrReq,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PctgCooltPmpNAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_PctgCooltPmpDmdByVeh,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_PctgCooltFanFb,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_PctgCooltHeatrFb,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VCU_GearLeverPos,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VCU_FCEnableState,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VCU_EmpowdReq,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,UCellEmpowd,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Info2_TankFlapOpen,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Info1_RefuelingAllowed,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error1_H2Leakage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error2_HVFailure,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error3_CompFCSFailure,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error4_xCULVFailure,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error5_H2SupplyFailure,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error6_ESB,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error_H2Failure,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
